	220		261		190
1114	0.4483425319	1114	-0.009414351545	1114	0.05274425447
1113	0.4454641342	1113	-0.009914196096	1113	0.05423659831
1112	0.4426932335	1112	-0.01021118741	1112	0.05563889444
1111	0.4397961795	1111	-0.01038101502	1111	0.05709671229
1110	0.4371622205	1110	-0.01060979068	1110	0.05866319314
1109	0.4344133139	1109	-0.01051338296	1109	0.06024310365
1108	0.4318389297	1108	-0.01058553904	1108	0.06185899302
1107	0.4291287959	1107	-0.01062883716	1107	0.06337741017
1106	0.4266526401	1106	-0.01079612784	1106	0.06507123262
1105	0.4239988923	1105	-0.01093467977	1105	0.06675605476
1104	0.4215300977	1104	-0.01106269006	1104	0.06839415431
1103	0.4190401435	1103	-0.01118995622	1103	0.07015147805
1102	0.4166501164	1102	-0.01125589665	1102	0.07202512771
1101	0.4143418968	1101	-0.01125761122	1101	0.0737624988
1100	0.4119345844	1100	-0.01128470059	1100	0.07561518997
1099	0.4098605812	1099	-0.01129342709	1099	0.07751610875
1098	0.4074918926	1098	-0.01143504865	1098	0.07935580611
1097	0.4054246843	1097	-0.0115125468	1097	0.08131821454
1096	0.4031575918	1096	-0.01159391366	1096	0.08333575726
1095	0.4012668133	1095	-0.01159048546	1095	0.0852869451
1094	0.3991111517	1094	-0.01161180809	1094	0.08738021553
1093	0.397257179	1093	-0.01158292405	1093	0.08938280493
1092	0.395252943	1092	-0.01155418996	1092	0.09155633301
1091	0.393437326	1091	-0.01157148089	1091	0.09367607534
1090	0.3915556967	1090	-0.01152948663	1090	0.09588080645
1089	0.3898389637	1089	-0.01154859457	1089	0.09814214706
1088	0.3880926073	1088	-0.01159189735	1088	0.1003339142
1087	0.3864957392	1087	-0.01163212117	1087	0.1026458666
1086	0.3848021328	1086	-0.0117286332	1086	0.1049299166
1085	0.3832389712	1085	-0.01169043407	1085	0.1072772667
1084	0.3816855848	1084	-0.01173059922	1084	0.1097353175
1083	0.3802526593	1083	-0.01174400281	1083	0.1121521294
1082	0.3788882494	1082	-0.01179766562	1082	0.1145675257
1081	0.3775509596	1081	-0.01177610084	1081	0.1170762926
1080	0.3762396574	1080	-0.01181731559	1080	0.1196020469
1079	0.3750216067	1079	-0.01188799553	1079	0.1220860332
1078	0.3737501204	1078	-0.01190154627	1078	0.1246709824
1077	0.3726057112	1077	-0.01192587521	1077	0.1273773313
1076	0.3715353906	1076	-0.01198696904	1076	0.1299969256
1075	0.3704591393	1075	-0.01197538618	1075	0.1326427162
1074	0.3694642186	1074	-0.01198173128	1074	0.1353107989
1073	0.3684801757	1073	-0.01210203208	1073	0.1380707473
1072	0.367606014	1072	-0.01212539338	1072	0.1406962276
1071	0.3667825758	1071	-0.01216239668	1071	0.1435339153
1070	0.3659597337	1070	-0.01225335523	1070	0.1463841796
1069	0.3652951419	1069	-0.01230202336	1069	0.1491118073
1068	0.3645600379	1068	-0.01232476998	1068	0.1519625336
1067	0.3639169633	1067	-0.01231601369	1067	0.1548296362
1066	0.3633160889	1066	-0.01230957266	1066	0.1576132476
1065	0.3627951145	1065	-0.0122085074	1065	0.1605068296
1064	0.3623134792	1064	-0.01212010719	1064	0.1634478122
1063	0.3617645204	1063	-0.01197034959	1063	0.1663811207
1062	0.3613298237	1062	-0.01187106967	1062	0.1692813188
1061	0.3610122502	1061	-0.01189802028	1061	0.1722633541
1060	0.3606936038	1060	-0.01181766763	1060	0.1751827002
1059	0.3603823185	1059	-0.01190658286	1059	0.1781311333
1058	0.3601481915	1058	-0.01189484634	1058	0.181198433
1057	0.3598849773	1057	-0.0119284438	1057	0.1842712015
1056	0.3597076833	1056	-0.01188074145	1056	0.1872039139
1055	0.3596148491	1055	-0.01192275248	1055	0.1902342588
1054	0.359521091	1054	-0.01188240387	1054	0.1933245212
1053	0.3594798446	1053	-0.01196153555	1053	0.1962868869
1052	0.3594695926	1052	-0.01199271064	1052	0.199339062
1051	0.3595053554	1051	-0.01202725712	1051	0.2024754733
1050	0.3595511019	1050	-0.01208033133	1050	0.2053883374
1049	0.3596602082	1049	-0.01206915267	1049	0.2084585279
1048	0.3597737253	1048	-0.01203959528	1048	0.2114885747
1047	0.3599494398	1047	-0.01202066056	1047	0.2144768238
1046	0.3601939678	1046	-0.01203964557	1046	0.2175996155
1045	0.3603978753	1045	-0.01198822819	1045	0.2205542922
1044	0.3606608808	1044	-0.01199351624	1044	0.2236384153
1043	0.3609637618	1043	-0.01194023062	1043	0.2265404463
1042	0.3612524569	1042	-0.01196496002	1042	0.2296087593
1041	0.3616510928	1041	-0.01200142317	1041	0.2325636595
1040	0.3619931042	1040	-0.01205883082	1040	0.2354964465
1039	0.3624142706	1039	-0.01214628667	1039	0.2385201007
1038	0.3628552854	1038	-0.01219959836	1038	0.241469115
1037	0.3632958829	1037	-0.01225043647	1037	0.2443925887
1036	0.3637322783	1036	-0.01229397114	1036	0.2473063916
1035	0.3642270267	1035	-0.01238032337	1035	0.2501684725
1034	0.3648044765	1034	-0.01240195986	1034	0.2529754043
1033	0.3653651774	1033	-0.01244246121	1033	0.2558649182
